10NewsKTEN,local,75020,UCikBwVrO9WJmKEhHzCvJVsw
13WTHR,local,46204,UCSFLs1nwzqSC3Tq6cXhJkLg
20WiseTV,local,60621,UCvF-veojGYbRsLgq-MJwgLQ
39Online,local,77001,UCRTqLT-2DHeeoYCOb3VQvkA
41NBC,local,31201,UCmNZ27C9wocxLxZKyjAl-Uw
ABCNews,prominent,"",UCBi2mrWuNuyYy4gbM6fU18Q
AIPACPC,advocacy,"",UCxG28n8wj0thZukIZ56-9uQ
AlJazeeraEnglish,prominent,"",UCNye-wNBqNL5ZzHSJj3l8Bg
AssociatedPress,prominent,"",UC52X5wxOL_s5yw0dQk7NtgA
Bloomberg,prominent,"",UCUMZ7gohGI9HcU9VNsr2FJQ
BMAtv,advocacy,"",UCkIrTSRB-QmCldJKquf_8BQ
BuzzFeed,prominent,"",UCf4FYTsGFFcdc68AUPIU3RA
cbs8hd,local,92101,UChl0c33q-C6z664-8s77oyA
CBSNewsOnline,prominent,"",UC8p1vwvWtl6T73JiExfWs1g
cltv,local, 60618,UCiVRhU5_zu50bnoimJfvZew
CNDpress,advocacy,"",UC6hoK6O7Ti4TYGu9fD32RMA
CNN,prominent,"",UCupvZG-5ko_eiXAupbDfxWw
CSPAN,prominent,"",UCb--64Gl51jIEVE-GLDAVTg
CW44cable12,local,94102,UC_6O87OoxhXK976qkwCupXg
DrugPolicyAlliance,advocacy,"",UCzXaJk2RhkiU8eRHUBuB3mw
EagleForum,advocacy,"",UCjZiCblWrWacJ6TMNOzD5sA
EFForg,advocacy,"",UCS66aeKQNvJSOOGPjVHDE3Q
FOXChicagoNews,local,60601,UCFmofUYwZd1Ibf_O3PF71jg
FoxNewsChannel,prominent,"",UCXIJgqnII2ZOINSWNOGFThA
freedomswatch,advocacy,"",UCKBN1YURjG4fZOh3kiz9d0w
freedomworksaction,advocacy,"",UCh2Lgr3oLSvY3m4_tXJ8Dtw
fsround,advocacy,"",UCdKTUhAHfnwXQORaEbdK5UQ
GreenpeaceVideo,advocacy,"",UCTDTSx8kbxGECZJxOa9mIKA
kcratv,local,95814,UC-BSVXejMFhhml4V_VyoGxg
kdaf,local,75201,UC0fMOeIxfmlnA3Uk1tSCWRA
KDLTTV,local,57106,UC11buXzrGTnFpyx-YKxogrw
KETKnbc,local,75703,UCKQo5ORhXZTs48SPk8tcAeQ
ketvtv,local,68102,UCczdiIilpYSmiF074WMCNiA
kfor4news,local,73114,UCEUYiWFyzpEBMZ3aG7ud7xg
KHQ6,local,99201,UCLeX3Vtg8yfi0iCQeu9foWw
kjrhtv,local,74105,UChrpaYlmaVsVyEF0bTqmuHw
KKCO11News,local,81505,UCRLNRSx6pRE0u4HXBURN56Q
kmcctv,local,89101,UCBQwlTx8txjc42QJI3SMZvQ
KMIR6,local,92260,UCK68a8kwZ14SZl_KdC1Ck4g
KMTR,local,97477,UCSsIt2lhYlA-dRwk6UqlPBQ
KOBITVWebsite,local,97501,UCDDHvAu-pNOgdzgHha96Qnw
kobtv4,local,87104,UC5ocI9-mBt8O-eVZdNOqQ8g
KPVINEWS6,local,83201,UCot412xCK_5rqi45dDuw4cw
ksbwtv,local,93012,UCwPzlQU2MqEQJWgqM_0VFKQ
KSBYTV,local,93405,UChIlR_Uhv1366IAxT1ORbTA
KTLA,local,90001,UCinjnmQEwCddOudyCC1v7qA
KTVA11,local,99501,UC-tq0hETSMXgBA224MtXTmg
KTVNChannel2News,local,89502,UCaLjq8bBXAA7lLlHaGHvI8w
KWWLOffAir,local,50703,UCcjnh2TVy7tHOAc0DW2kVNQ
kxan,local,78701,UCgBVz3EzHYKpPS0BITvLRsg
NationalSierraClub,advocacy,"",UCrZE-1EnSlpXHTvEAXaucAQ
nbc15video,local,53711,UC5JqD04B_iUgdcrowSwQQ6A
nbc2news,local,47808,UCjpPqWBw1L8G8t2yKHXuMwA
NBC4FOX14Amarillo,local,79101,UCCKjdOi0Gpb6Ww93G2KbCcQ
NBC5ChicagoCreative,local,60611,UCU6LsNtI3_lP05cTXc96Wxg
NBCNews,prominent,"",UCeY0bbntWzzVIaj2z3QigXg
NC21CentralOregon,local,97701,UCjgKJaR_saS6MFeyPDsRIoQ
newsfirst5,local,81003,UCUknL1K-YGAa5sIss9t0_ug
NRAVideos,advocacy,"",UCZr49eSL2aHQ_41476IrkbA
officialpeta,advocacy,"",UCmQRypK6kAcujJAlYZpFW8Q
OxfamGreatBritain,advocacy,"",UC2SUpeciICP_bakwCCjeN0Q
ReutersTV,prominent,"",UCCElUBs4eYOlX6sc24EAsAw
StoptheWarCoalition,advocacy,"",UCtzk_Xyby9U2yP_DAi2gECQ
TCCTV,advocacy,"",UCO5oQNZn32c1-XZ460tt-vQ
telegraphtv,prominent,"",UCPgLNge0xqQHWM5B5EFH9Cg
TheGuardian,prominent,"",UCHpw8xwDNhU9gdohEcJu4aA
TheNewYorkTimes,prominent,"",UCqnbDFdCpuN8CMEg0VuEBqA
TheWeatherChannel,prominent,"",UCGTUbwceCMibvpbd2NaIP7A
USATODAY,prominent,"",UCP6HGa63sBC7-KHtkme-p-g
wala,local,36526,UC_B1lpgj2DH_wO8T1jJnSYA
walbnews10,local,31707,UCP445niKQeh1gSxtatMFWNQ
wavy,local,23704,UC5DOK_H_fkhHBw_7pl0TViQ
wbal,local,21211,UCpmb83_U37eDBlgEezsxK7w
WBIRTV,local,37917,UCoFEGsyV-u7XB5OX9OUGLFg
wbztv,local,22010,UCstHBCkjY51UG5SGrGY11wg
WCBD,local,29464,UCr8APacGEWNdREZYKe4hVrw
WCNCVideo,local,28217,UCp6qIUsZpjHd7zqKry1aR5A
wcshpromo,local,4101,UC-wJjJhLLfO0KWh0G7ztL5w
WDAMTV,local,39459,UCQscSMul8K18A-T0F1X5jSg
wdsutv,local,70113,UCh6B4Wr5marHaAhH27VR9GA
WDTNTV,local,45439,UC659PRLT5K2h7QBLN2Q6Iaw
weshtv,local,32789,UCD9nZ3qeRGbPuHJaJduiQxA
wgaltv,local,17603,UCaqEHP76q9TblVUO3sHFSQQ
WGEMTV,local,62301,UCTzIH0_QmgCo33gcBHOLAsg
wgn,local,60618,UCDrLGkZTcNCshOLiKi5NtEw
whntnews19,local,35809,UCV8mxYCe-Tauwd09rS9cOVg
WISTV10,local,29201,UCP7J7_TbHwEsSiydPJv_6iw
witntv,local,27889,UCQyJnw3wi6TA9uiU78981lQ
WJAR10,local,2920,UCUdmmvN3uwTsrdpyAlSaAXA
wkcf,local,32789,UCDd6ngoCoLzSclRI8tttvFQ
WKRGNews,local,36601,UCFOq-dKCPu3PcmaCMEGDzTA
WKTVNEWSChannel2,local,13502,UCSY2ZAsVM4pAIo9PqMT_rHg
wkycpromo,local,44114,UCtGpDzXM8ugO2luKDQIB3nQ
WLBT3,local,39202,UCKAqqsAUfSDDWoEIqcbsWtw
wlbzpromo,local,4401,UCtRwdE5lb1VZLJblidWFbsQ
wlwttv,local,45210,UCkr9qZ5tj9dGd7JvE3a8X4Q
wncn,local,27609,UC1dVGItBqV4w-4xQHoX1UDg
WNKYTV,local,42101,UCdoyHi3d8EN4m8PT1w-UsmQ
WNWOtv,local,43615,UC1qJzOLtUKbTV7YrnF7ys9A
WNYT13,local,12204,UC5CEbfa5Q3j3w-rPIq-3XOg
WOAIPromotions,local,78205,UCJt1QvMHgp2NDQmjTvEkNHg
WOODTV8,local,49503,UCDG0mJ_zkrODDT-4VTEV6TQ
WOWT6News,local,68102,UCHyFuvaP40uvL0RE48NbsMw
WPTVnews,local,33401,UC0bCUnP5RrkJZUtd3bBz6Kw
wptz,local,12901,UCO3KF4ZlaGjyels6A7riZug
WPXI11News,local,15214,UCBnnls7hGYmkQmuFTDDe10g
WRCBvideos,local,37405,UCZvWI9aiyzMp-osh-XbU7xA
WSJDigitalNetwork,prominent,"",UCK7tptUDHh-RYDsdxO1-5QQ
WSLS10,local,24011,UCsKk7MrUbN3Q9n3UxZcjryw
WSMVTV,local,37209,UCN5bm5wjL03Azew5N3bALgQ
wttwchicago,local,60625,UC0H7JADShpxWDjGQ4WhXPtQ
WVVATV,local,24701,UCatp5c2oAUXjrpnn8pfdgrA
wwlp,local,1102,UCGbEXjkmPTCQfJ4FiD3lOQg
WXIItv,local,27106,UC0ZsHHC_frpcqneDpMiteCQ
wyfftv,local,29609,UC3UxJWrUACd2Hk4dMAQKOyw
